#comment	rdp_tax_and_bootstrap	taxonomic_affiliation	blast_subject	blast_perc_identity	blast_perc_query_coverage	blast_evalue	blast_aln_length	seed_id	observation_name	observation_sum	ERR7901770	ERR7901771	ERR7901772	ERR7901773	ERR7901774	ERR7901775	ERR7901776	ERR7901777	ERR7901778	ERR7901779
no data	Archaea;(1.0);Halobacterota;(1.0);Halobacteria;(1.0);Halobacterales;(1.0);Halobacteriaceae;(1.0);Halanaeroarchaeum;(1.0);Halanaeroarchaeum sulfurireducens;(0.69);	Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Halanaeroarchaeum;Multi-affiliation	multi-subject	multi-identity	100.0	4.23e-126	multi-alignment-lg	ERR7901776.10976	Cluster_66	474	0	0	0	0	0	0	11	1	150	312
no data	Bacteria;(1.0);Proteobacteria;(1.0);Alphaproteobacteria;(1.0);Sphingomonadales;(1.0);Sphingomonadaceae;(1.0);Sphingomonas;(1.0);Sphingomonas qilianensis;(0.27);	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.955	Cluster_67	497	497	0	0	0	0	0	0	0	0	0
no data	Bacteria;(1.0);Bacteroidota;(1.0);Rhodothermia;(1.0);Balneolales;(1.0);Balneolaceae;(1.0);Fodinibius;(0.57);unknown species;(0.57);	Bacteria;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;Multi-affiliation;Multi-affiliation	multi-subject	97.233	100.0	7.09e-119	253	ERR7901774.904	Cluster_68	575	0	0	0	0	225	350	0	0	0	0
no data	Archaea;(1.0);Halobacterota;(1.0);Halobacteria;(1.0);Halobacterales;(1.0);Halobacteriaceae;(1.0);Halanaeroarchaeum;(1.0);unknown species;(0.88);	Archaea;Halobacterota;Halobacteria;Halobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation	multi-subject	98.819	100.0	4.23e-126	254	ERR7901774.14610	Cluster_70	457	0	0	0	0	3	8	335	96	10	5
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);JG36-TzT-191;(0.99);unknown family;(0.99);unknown genus;(0.99);unknown species;(0.99);	Bacteria;Proteobacteria;Gammaproteobacteria;JG36-TzT-191;unknown family;unknown genus;unknown species	multi-subject	98.814	100.0	1.51e-125	253	ERR7901770.21474	Cluster_71	616	8	0	0	5	0	3	0	557	0	43
no data	Archaea;(1.0);Halobacterota;(1.0);Halobacteria;(1.0);Halobacterales;(1.0);Halobacteriaceae;(1.0);Halodesulfurarchaeum;(1.0);unknown species;(1.0);	Archaea;Halobacterota;Halobacteria;Halobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation	multi-subject	98.425	100.0	1.97e-124	254	ERR7901774.14146	Cluster_72	514	0	0	0	0	12	34	232	15	94	127
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Pseudomonadales;(1.0);Moraxellaceae;(1.0);Enhydrobacter;(1.0);Moraxella osloensis;(1.0);	Bacteria;Proteobacteria;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation	multi-subject	100.0	100.0	4.20e-131	254	ERR7901770.11174	Cluster_73	510	3	283	0	0	3	0	0	112	0	109
no data	Bacteria;(1.0);Proteobacteria;(1.0);Alphaproteobacteria;(1.0);Rhizobiales;(1.0);Beijerinckiaceae;(1.0);Methylobacterium-Methylorubrum;(1.0);unknown species;(0.82);	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.180	Cluster_74	425	425	0	0	0	0	0	0	0	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Pseudomonadales;(1.0);Pseudomonadaceae;(1.0);Pseudomonas;(1.0);Pseudomonas umsongensis;(0.83);	Bacteria;Proteobacteria;Gammaproteobacteria;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901772.8302	Cluster_75	518	0	1	1	432	0	1	0	0	73	10
no data	Bacteria;(1.0);Bacteroidota;(1.0);Rhodothermia;(1.0);Balneolales;(1.0);Balneolaceae;(1.0);Fodinibius;(0.83);unknown species;(0.83);	Bacteria;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae;Fodinibius;unknown species	multi-subject	96.047	100.0	7.14e-114	253	ERR7901774.132	Cluster_76	439	0	0	0	0	207	232	0	0	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Burkholderiales;(1.0);Comamonadaceae;(1.0);Rhodoferax;(0.91);unknown species;(0.52);	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Multi-affiliation;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901775.70350	Cluster_78	516	0	82	0	0	0	5	428	0	1	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Pseudomonadales;(1.0);Pseudomonadaceae;(1.0);Pseudomonas;(1.0);Pseudomonas psychrotolerans;(1.0);	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901771.509	Cluster_79	436	0	436	0	0	0	0	0	0	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Pseudomonadales;(1.0);Moraxellaceae;(1.0);Moraxella;(1.0);Moraxella atlantae;(1.0);	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;unknown species	GQ008884.1.1351	100.0	100.0	1.50e-130	253	ERR7901777.264	Cluster_80	430	0	1	0	0	0	0	0	429	0	0
no data	Archaea;(1.0);Halobacterota;(1.0);Halobacteria;(1.0);Halobacterales;(1.0);Halomicrobiaceae;(1.0);Haloarcula;(1.0);Haloarcula sp.;(0.73);	Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Haloarcula;Multi-affiliation	multi-subject	100.0	100.0	4.20e-131	254	ERR7901776.187	Cluster_81	482	0	0	0	0	0	0	193	274	7	8
no data	Bacteria;(1.0);Planctomycetota;(1.0);OM190;(1.0);unknown order;(1.0);unknown family;(1.0);unknown genus;(1.0);unknown species;(1.0);	Bacteria;Planctomycetota;OM190;unknown order;unknown family;unknown genus;unknown species	FJ208843.1.1379	100.0	100.0	1.50e-130	253	ERR7901771.17781	Cluster_82	439	0	1	0	0	0	0	0	438	0	0
no data	Bacteria;(1.0);Bacteroidota;(1.0);Bacteroidia;(1.0);Flavobacteriales;(1.0);Weeksellaceae;(1.0);Cloacibacterium;(1.0);unknown species;(1.0);	Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Cloacibacterium;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901771.3477	Cluster_85	456	0	46	0	3	0	0	0	392	15	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Alphaproteobacteria;(1.0);Rhizobiales;(1.0);Xanthobacteraceae;(1.0);Bradyrhizobium;(1.0);Bradyrhizobium sp.;(0.64);	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901773.38867	Cluster_86	416	0	0	0	2	0	0	0	351	0	63
no data	Bacteria;(1.0);Firmicutes;(1.0);Clostridia;(1.0);Caldicoprobacterales;(1.0);Caldicoprobacteraceae;(1.0);Caldicoprobacter;(1.0);anaerobic digester metagenome;(0.71);	Bacteria;Firmicutes;Clostridia;Caldicoprobacterales;Caldicoprobacteraceae;Caldicoprobacter;unknown species	FJ825473.1.1374	100.0	100.0	1.50e-130	253	ERR7901772.27	Cluster_87	510	0	0	510	0	0	0	0	0	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Enterobacterales;(1.0);Shewanellaceae;(0.98);Shewanella;(0.98);Shewanella baltica OS117;(0.06);	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Shewanellaceae;Shewanella;Multi-affiliation	multi-subject	98.419	100.0	7.04e-124	253	ERR7901777.176	Cluster_89	395	0	0	0	0	0	0	0	395	0	0
no data	Bacteria;(1.0);Firmicutes;(1.0);Bacilli;(1.0);Bacillales;(1.0);Salisediminibacteriaceae;(0.99);Salipaludibacillus;(0.99);Bacillus cellulosilyticus;(0.73);	Bacteria;Firmicutes;Bacilli;Bacillales;Multi-affiliation;Multi-affiliation;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901777.180	Cluster_90	388	0	0	0	0	0	0	0	388	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Burkholderiales;(1.0);Burkholderiaceae;(1.0);Burkholderia-Caballeronia-Paraburkholderia;(1.0);Paraburkholderia terricola;(0.28);	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.626	Cluster_91	417	120	0	0	1	0	19	0	0	266	11
no data	Bacteria;(1.0);Actinobacteriota;(1.0);Actinobacteria;(1.0);Micrococcales;(1.0);Microbacteriaceae;(0.96);Leifsonia;(0.72);Leifsonia xyli;(0.38);	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;unknown genus;unknown species	GQ069168.1.1341	100.0	100.0	1.50e-130	253	ERR7901770.25387	Cluster_92	447	4	0	0	1	0	2	0	298	142	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Alphaproteobacteria;(1.0);Rhizobiales;(1.0);Rhizobiaceae;(1.0);Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;(0.73);Neorhizobium huautlense;(0.5);	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.163	Cluster_93	409	409	0	0	0	0	0	0	0	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Alphaproteobacteria;(1.0);Sphingomonadales;(1.0);Sphingomonadaceae;(1.0);Sphingomonas;(1.0);Sphingomonas faeni;(1.0);	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.60	Cluster_94	432	432	0	0	0	0	0	0	0	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Xanthomonadales;(1.0);Xanthomonadaceae;(1.0);Pseudoxanthomonas;(1.0);Pseudoxanthomonas mexicana;(1.0);	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Multi-affiliation	multi-subject	99.605	100.0	6.99e-129	253	ERR7901773.530	Cluster_95	470	0	0	0	447	0	6	0	0	17	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Burkholderiales;(1.0);Comamonadaceae;(1.0);Acidovorax;(0.95);Acidovorax delafieldii;(0.44);	Bacteria;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901773.33	Cluster_97	325	0	0	0	77	0	0	0	0	71	177
no data	Bacteria;(1.0);Actinobacteriota;(1.0);Actinobacteria;(1.0);Micrococcales;(1.0);Microbacteriaceae;(0.99);Cryobacterium;(0.54);Cryobacterium sp.;(0.51);	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Multi-affiliation;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.579	Cluster_98	492	431	0	0	60	0	1	0	0	0	0
no data	Archaea;(1.0);Halobacterota;(1.0);Halobacteria;(1.0);Halobacterales;(1.0);Halobacteriaceae;(1.0);Halodesulfurarchaeum;(0.99);unknown species;(0.97);	Archaea;Halobacterota;Halobacteria;Halobacterales;Halobacteriaceae;Halodesulfurarchaeum;Multi-affiliation	multi-subject	100.0	100.0	4.20e-131	254	ERR7901770.9868	Cluster_99	598	54	386	0	3	19	32	76	1	25	2
no data	Bacteria;(1.0);Campylobacterota;(1.0);Campylobacteria;(1.0);Campylobacterales;(1.0);Sulfurimonadaceae;(1.0);Sulfuricurvum;(1.0);unknown species;(0.98);	Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurimonadaceae;Sulfuricurvum;unknown species	multi-subject	100.0	100.0	1.50e-130	253	ERR7901777.1076	Cluster_100	1105	0	107	2	10	0	194	0	719	26	47
no data	Bacteria;(1.0);Desulfobacterota;(0.99);Desulfovibrionia;(0.99);Desulfovibrionales;(0.99);Desulfohalobiaceae;(0.76);Desulfovermiculus;(0.76);unknown species;(0.76);	Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfohalobiaceae;Desulfovermiculus;unknown species	JN453685.1.1430	100.0	100.0	1.50e-130	253	ERR7901770.3798	Cluster_101	349	40	34	72	59	11	13	20	26	34	40
no data	Bacteria;(1.0);Proteobacteria;(1.0);Alphaproteobacteria;(1.0);Acetobacterales;(1.0);Acetobacteraceae;(1.0);Acidiphilium;(0.79);unknown species;(0.75);	Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acidiphilium;unknown species	KF037720.1.1460	98.024	100.0	3.28e-122	253	ERR7901777.251	Cluster_102	325	0	0	0	0	0	0	0	325	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Xanthomonadales;(1.0);Xanthomonadaceae;(1.0);Vulcaniibacterium;(1.0);unknown species;(1.0);	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Vulcaniibacterium;unknown species	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.6538	Cluster_103	385	61	41	0	0	0	0	283	0	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Pseudomonadales;(1.0);Pseudomonadaceae;(1.0);Pseudomonas;(1.0);Pseudomonas yamanorum;(0.61);	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901771.4867	Cluster_104	535	0	41	0	2	2	2	0	0	402	86
no data	Archaea;(1.0);Halobacterota;(1.0);Halobacteria;(1.0);Halobacterales;(1.0);Halomicrobiaceae;(0.99);Halapricum;(0.99);Halobacteriaceae archaeon SY-39;(0.71);	Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halapricum;Halobacteriaceae archaeon SY-39	KM405436.1.1472	99.606	100.0	1.95e-129	254	ERR7901770.82688	Cluster_105	294	1	0	0	0	0	0	0	0	158	135
no data	Bacteria;(1.0);Patescibacteria;(0.93);Berkelbacteria;(0.92);unknown order;(0.92);unknown family;(0.92);unknown genus;(0.92);Candidatus Berkelbacteria bacterium RIFOXYA2_FULL_43_10;(0.92);	Bacteria;Patescibacteria;Berkelbacteria;unknown order;unknown family;unknown genus;Candidatus Berkelbacteria bacterium RIFOXYA2_FULL_43_10	MEZY01000050.18847.20231	88.235	100.0	1.61e-80	255	ERR7901777.75	Cluster_107	339	0	0	0	0	0	0	0	339	0	0
no data	Bacteria;(1.0);Firmicutes;(1.0);Clostridia;(1.0);Christensenellales;(1.0);Christensenellaceae;(1.0);Christensenellaceae R-7 group;(1.0);metagenome;(0.96);	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901772.67	Cluster_108	425	0	0	425	0	0	0	0	0	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Alphaproteobacteria;(1.0);Caulobacterales;(1.0);Caulobacteraceae;(1.0);Brevundimonas;(1.0);Brevundimonas bullata;(1.0);	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901773.118	Cluster_109	259	0	0	0	258	0	0	0	0	0	1
no data	Bacteria;(1.0);Halanaerobiaeota;(1.0);Halanaerobiia;(1.0);Halanaerobiales;(1.0);Halobacteroidaceae;(1.0);Halanaerobacter;(1.0);Halanaerobacter lacunarum;(0.9);	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halobacteroidaceae;Halanaerobacter;Halanaerobacter lacunarum	U32593.1.1491	98.024	100.0	9.11e-123	253	ERR7901770.1623	Cluster_110	322	64	242	0	0	0	0	0	0	9	7
no data	Archaea;(1.0);Halobacterota;(1.0);Halobacteria;(1.0);Halobacterales;(1.0);Halomicrobiaceae;(1.0);Halomicrobium;(1.0);Halapricum sp.;(1.0);	Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomicrobium;Halapricum sp.	MH298524.1.1471	100.0	100.0	4.20e-131	254	ERR7901778.2856	Cluster_111	304	0	0	0	0	0	0	0	0	184	120
no data	Bacteria;(1.0);Bacteroidota;(1.0);Bacteroidia;(1.0);Cytophagales;(1.0);Spirosomaceae;(1.0);Dyadobacter;(1.0);metagenome;(0.41);	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Dyadobacter;unknown species	EF018103.1.1368	98.024	100.0	3.28e-122	253	ERR7901770.225	Cluster_112	266	266	0	0	0	0	0	0	0	0	0
no data	Archaea;(1.0);Halobacterota;(1.0);Halobacteria;(1.0);Halobacterales;(1.0);Halobacteriaceae;(1.0);Halodesulfurarchaeum;(0.99);unknown species;(0.99);	Archaea;Halobacterota;Halobacteria;Halobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation	multi-subject	98.425	100.0	1.97e-124	254	ERR7901774.1061	Cluster_113	266	0	0	0	0	35	115	90	10	7	9
no data	Bacteria;(1.0);Bacteroidota;(1.0);Bacteroidia;(1.0);Bacteroidales;(1.0);Dysgonomonadaceae;(1.0);Proteiniphilum;(1.0);anaerobic digester metagenome;(0.52);	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum;unknown species	HM107102.1.1511	100.0	100.0	1.50e-130	253	ERR7901772.125	Cluster_114	404	0	0	404	0	0	0	0	0	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Burkholderiales;(1.0);Comamonadaceae;(1.0);Hydrogenophaga;(0.76);unknown species;(0.62);	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;unknown species	multi-subject	100.0	100.0	1.50e-130	253	ERR7901777.547	Cluster_115	396	0	1	0	0	0	0	0	395	0	0
no data	Bacteria;(0.99);Desulfobacterota;(0.09);Desulfobacteria;(0.07);Desulfobacterales;(0.07);Desulfobacteraceae;(0.07);unknown genus;(0.06);bacterium enrichment culture clone 61;(0.05);	Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;unknown genus;unknown species	KR857678.1.1535	85.259	98.81422924901186	3.54e-67	251	ERR7901773.32215	Cluster_116	359	0	0	0	1	2	1	0	0	284	71
no data	Bacteria;(1.0);Proteobacteria;(1.0);Alphaproteobacteria;(1.0);Rhodobacterales;(0.98);Rhodobacteraceae;(0.98);Tabrizicola;(0.31);unknown species;(0.31);	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Multi-affiliation;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901777.226	Cluster_117	352	0	0	0	0	0	0	0	352	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Alphaproteobacteria;(1.0);Caulobacterales;(1.0);Caulobacteraceae;(1.0);Caulobacter;(0.98);unknown species;(0.84);	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;unknown species	HQ538695.1.1451	100.0	100.0	1.50e-130	253	ERR7901770.166	Cluster_118	310	106	0	0	0	0	4	0	0	125	75
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Enterobacterales;(1.0);Enterobacteriaceae;(1.0);Kosakonia;(0.14);Atlantibacter hermannii;(0.07);	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Multi-affiliation;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901777.51	Cluster_122	502	0	2	0	0	0	0	0	300	145	55
no data	Bacteria;(1.0);Verrucomicrobiota;(1.0);Verrucomicrobiae;(1.0);Chthoniobacterales;(1.0);Chthoniobacteraceae;(1.0);Chthoniobacter;(1.0);unknown species;(0.99);	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;unknown species	KF106621.1.1381	99.209	100.0	3.25e-127	253	ERR7901770.926	Cluster_123	250	250	0	0	0	0	0	0	0	0	0
no data	Bacteria;(1.0);Actinobacteriota;(1.0);Actinobacteria;(1.0);Frankiales;(1.0);Geodermatophilaceae;(1.0);Blastococcus;(1.0);Blastococcus aggregatus;(0.75);	Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Blastococcus;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901777.353	Cluster_124	284	0	1	0	0	0	0	0	283	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Acidithiobacillales;(1.0);Acidithiobacillaceae;(1.0);KCM-B-112;(1.0);unknown species;(1.0);	Bacteria;Proteobacteria;Gammaproteobacteria;Acidithiobacillales;Acidithiobacillaceae;KCM-B-112;unknown species	multi-subject	100.0	100.0	1.50e-130	253	ERR7901773.436	Cluster_125	193	0	0	0	193	0	0	0	0	0	0
no data	Bacteria;(1.0);Firmicutes;(1.0);Bacilli;(1.0);Lactobacillales;(1.0);Streptococcaceae;(1.0);Streptococcus;(1.0);Streptococcus salivarius;(1.0);	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Multi-affiliation;Multi-affiliation	multi-subject	100.0	100.0	5.38e-130	252	ERR7901773.28150	Cluster_126	222	0	0	0	1	0	6	0	67	0	148
no data	Bacteria;(1.0);Halanaerobiaeota;(1.0);Halanaerobiia;(1.0);Halanaerobiales;(1.0);Halanaerobiaceae;(1.0);Halanaerobium;(1.0);Halanaerobium saccharolyticum;(0.8);	Bacteria;Halanaerobiaeota;Halanaerobiia;Halanaerobiales;Halanaerobiaceae;Halanaerobium;Multi-affiliation	multi-subject	99.213	100.0	3.25e-127	254	ERR7901770.1082	Cluster_127	249	45	180	0	0	0	0	0	0	18	6
no data	Bacteria;(1.0);Firmicutes;(1.0);Bacilli;(1.0);Bacillales;(1.0);Bacillaceae;(1.0);Bacillus;(1.0);Bacillus anthracis;(0.96);	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901771.4947	Cluster_128	230	0	53	0	0	0	13	0	0	49	115
no data	Bacteria;(1.0);Patescibacteria;(0.98);Parcubacteria;(0.98);Candidatus Vogelbacteria;(0.6);unknown family;(0.6);unknown genus;(0.6);Candidatus Vogelbacteria bacterium RIFOXYB1_FULL_42_16;(0.34);	Bacteria;Patescibacteria;Parcubacteria;Candidatus Vogelbacteria;unknown family;unknown genus;Candidatus Vogelbacteria bacterium RIFOXYB1_FULL_42_16	MHTH01000005.30122.31463	91.146	62.13592233009708	3.42e-68	192	ERR7901777.59	Cluster_129	304	0	0	0	0	0	0	0	304	0	0
no data	Bacteria;(1.0);Actinobacteriota;(1.0);Actinobacteria;(1.0);Propionibacteriales;(1.0);Nocardioidaceae;(1.0);Marmoricola;(1.0);unknown species;(1.0);	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Marmoricola;unknown species	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.935	Cluster_130	465	139	1	0	0	0	0	0	325	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Gammaproteobacteria;(1.0);Xanthomonadales;(1.0);Xanthomonadaceae;(1.0);Lysobacter;(0.83);gamma proteobacterium SOC A20(46);(0.48);	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;Multi-affiliation	multi-subject	99.605	100.0	6.99e-129	253	ERR7901773.75	Cluster_131	206	0	0	0	206	0	0	0	0	0	0
no data	Bacteria;(1.0);Actinobacteriota;(1.0);Actinobacteria;(1.0);Corynebacteriales;(1.0);Corynebacteriaceae;(1.0);Corynebacterium;(1.0);Corynebacterium vitaeruminis;(0.25);	Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Multi-affiliation	multi-subject	98.819	100.0	4.23e-126	254	ERR7901777.964	Cluster_132	246	0	0	0	0	0	0	0	246	0	0
no data	Bacteria;(1.0);Proteobacteria;(1.0);Alphaproteobacteria;(1.0);Caulobacterales;(1.0);Caulobacteraceae;(1.0);Brevundimonas;(1.0);Brevundimonas vesicularis;(0.99);	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901774.37830	Cluster_133	210	0	0	0	1	2	0	0	0	0	207
no data	Archaea;(1.0);Halobacterota;(1.0);Halobacteria;(1.0);Halobacterales;(1.0);Halobacteriaceae;(0.96);Halanaeroarchaeum;(0.96);unknown species;(0.78);	Archaea;Halobacterota;Halobacteria;Halobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation	multi-subject	98.819	100.0	4.23e-126	254	ERR7901775.83747	Cluster_134	203	0	0	0	0	3	20	75	5	50	50
no data	Bacteria;(1.0);Bacteroidota;(1.0);Bacteroidia;(1.0);Cytophagales;(1.0);Spirosomaceae;(1.0);Dyadobacter;(1.0);metagenome;(0.94);	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Dyadobacter;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901770.1202	Cluster_135	238	238	0	0	0	0	0	0	0	0	0
no data	Archaea;(1.0);Halobacterota;(1.0);Halobacteria;(1.0);Halobacterales;(1.0);Halobacteriaceae;(0.99);Halanaeroarchaeum;(0.98);unknown species;(0.9);	Archaea;Halobacterota;Halobacteria;Halobacterales;Multi-affiliation;Multi-affiliation;Multi-affiliation	multi-subject	98.819	100.0	4.23e-126	254	ERR7901776.554	Cluster_136	357	0	0	0	0	3	14	184	5	44	107
no data	Bacteria;(1.0);Proteobacteria;(1.0);Alphaproteobacteria;(1.0);Sphingomonadales;(1.0);Sphingomonadaceae;(1.0);Sphingobium;(1.0);Sphingobium xenophagum;(1.0);	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Multi-affiliation;Multi-affiliation	multi-subject	100.0	100.0	1.50e-130	253	ERR7901773.2424	Cluster_137	205	0	0	0	47	0	0	0	0	0	158
